company,rank,rank_change, revenue , profit , num. of employees ,sector,city,state,newcomer,ceo_founder,ceo_woman,profitable,prev_rank,CEO,Website,Ticker, Market Cap 
Murphy Oil,625,0," 4,194 "," 1,150 ", 822 ,Energy,El Dorado,AR,,no,no,yes, ,Roger W. Jenkins,https://www.murphyoilcorp.com,MUR, 941 
Vertex Pharmaceuticals,626,0," 4,163 "," 1,177 "," 3,000 ",Health Care,Boston,MA,,no,no,yes, ,Reshma Kewalramani,https://www.vrtx.com,VRTX," 55,963 "
First Republic Bank,627,0," 4,157 ", 930 ," 4,812 ",Financials,San Francisco,CA,,yes,no,yes, ,James H. Herbert II,https://www.firstrepublic.com,FRC," 14,094 "
Bloomin&#8217; Brands,628,0," 4,139 ", 131 ," 94,000 ","Hotels, Restaurants & Leisure",Tampa,FL,,no,no,yes, ,David J. Deno,https://www.bloominbrands.com,BLMN, 621 
Spectrum Brands Holdings,629,0," 4,139 ", 472 ," 13,000 ",Household Products,Middleton,WI,,no,no,yes, ,David M. Maura,https://www.spectrumbrands.com,SPB," 1,669 "
Quad/Graphics,630,0," 4,137 ", (156)," 19,600 ",Media,Sussex,WI,,no,no,no, ,J. Joel Quadracci,https://www.quad.com,QUAD, 136 
Flowers Foods,631,0," 4,124 ", 165 ," 9,700 ","Food, Beverages & Tobacco",Thomasville,GA,,no,no,yes, ,A. Ryals McMullian,https://www.flowersfoods.com,FLO," 4,341 "
CUNA Mutual Group,632,0," 4,123 ", 220 ," 3,600 ",Financials,Madison,WI,,no,no,yes, ,Robert N. Trunzo,https://www.cunamutual.com,,
Allegheny Technologies,633,0," 4,123 ", 258 ," 8,100 ",Materials,Pittsburgh,PA,,no,no,yes, ,Robert S. Wetherbee,https://www.atimetals.com,ATI," 1,076 "
Old Dominion Freight Line,634,0," 4,109 ", 616 ," 20,105 ",Transportation,Thomasville,NC,,no,no,yes, ,Greg C. Gantt,https://www.odfl.com,ODFL," 15,692 "
Landstar System,635,0," 4,090 ", 228 ," 1,333 ",Transportation,Jacksonville,FL,,no,no,yes, ,James B. Gattoni,https://www.landstar.com,LSTR," 3,785 "
American National Group,636,0," 4,070 ", 620 ," 4,640 ",Financials,Galveston,TX,,no,no,yes, ,James E. Pozzi,https://www.americannational.com,ANAT," 2,215 "
Snap-on,637,0," 4,068 ", 694 ," 12,800 ",Industrials,Kenosha,WI,,no,no,yes, ,Nicholas T. Pinchuk,https://www.snapon.com,SNA," 5,951 "
Brookdale Senior Living,638,0," 4,057 ", (268)," 48,400 ",Health Care,Brentwood,TN,,no,yes,no, ,Lucinda M. Baier,https://www.brookdale.com,BKD, 575 
Amkor Technology,639,0," 4,053 ", 121 ," 29,650 ",Technology,Tempe,AZ,,no,no,yes, ,Geil Rutten,https://www.amkor.com,AMKR," 1,878 "
Wyndham Destinations,640,0," 4,043 ", 507 ," 22,500 ","Hotels, Restaurants & Leisure",Orlando,FL,,no,no,yes, ,Michael D. Brown,https://www.wyndhamdestinations.com,WYND," 1,895 "
PPD,641,0," 4,031 ", 48 ," 23,000 ",Health Care,Wilmington,NC,,no,no,yes, ,David S. Simmons,https://www.ppdi.com,PPD," 6,208 "
Dentsply Sirona,642,0," 4,029 ", 263 ," 15,200 ",Health Care,Charlotte,NC,,no,no,yes, ,Donald M. Casey Jr.,https://www.dentsplysirona.com,XRAY," 8,599 "
CNO Financial Group,643,0," 4,016 ", 409 ," 3,300 ",Financials,Carmel,IN,,no,no,yes, ,Gary C. Bhojwani,https://www.cnoinc.com,CNO," 1,795 "
Urban Outfitters,644,0," 3,984 ", 168 ," 16,800 ",Retailing,Philadelphia,PA,,yes,no,yes, ,Richard A. Hayne,https://www.urbn.com,URBN," 1,392 "
